,0,1,2,3,4,5
136,4.65,0.902,-0.617,-1.154,1.846,2.437
137,9.4,0.999,1.129,0.19,3.19,7.184
138,37.73,0.065,0.835,3.022,6.022,58.109
139,1.465,0.563,-0.699,-1.77,1.23,0.462
140,87.131,0.999,0.906,-12.418,9.26,-203.685
141,192.789,0.611,-0.768,10.985,13.985,668.776
142,4.076,0.855,-0.705,-1.081,1.919,2.026
143,39.94,0.013,1.121,-9.188,6.432,-62.69
144,0.954,-0.362,0.493,-3.336,1.146,0.303
145,89.873,1.0,1.004,-12.469,9.49,-212.954
146,34.989,-0.184,0.757,-8.896,5.931,-51.685
147,37.762,0.073,1.063,3.243,6.243,57.875
148,3.135,0.77,-0.883,-1.195,1.805,1.404
149,246.06,1.0,1.322,13.0,16.0,963.364
150,-0.193,0.086,0.719,-3.051,-0.051,-0.221
151,4.321,0.86,-0.509,-0.898,2.102,2.252
152,204.564,0.762,-0.875,11.372,14.372,731.135
153,0.321,0.16,1.019,-2.461,0.539,0.227
154,7.062,0.973,0.504,-0.416,2.584,4.692
155,7.872,-0.992,0.422,-6.334,2.435,-6.45
156,76.244,-0.94,0.257,5.809,8.809,166.248
157,195.088,-0.643,-0.838,-16.861,14.066,-680.578
158,16.295,-0.904,-0.092,-6.923,4.126,-16.19
159,21.324,0.735,-1.106,1.511,4.511,24.705
160,6.268,0.942,0.425,-0.32,2.68,3.938
161,173.328,0.303,-0.123,9.728,12.728,572.274
162,0.187,0.218,0.63,-2.566,0.434,0.015
163,185.637,-0.496,0.059,-16.061,14.149,-628.998
164,2.059,-0.725,-1.569,-5.196,1.049,-1.642
165,206.676,0.793,-1.45,10.815,13.815,745.365
166,-0.024,0.09,0.88,-2.877,0.123,-0.055
167,44.113,0.167,1.081,-9.321,6.918,-72.206
168,123.296,-0.681,-0.224,8.834,11.834,339.852
169,74.273,0.923,-0.262,-11.881,8.384,-161.076
170,16.442,-0.912,0.43,-6.438,4.535,-15.291
171,122.503,0.671,-1.605,-14.722,10.471,-342.197
172,0.343,-0.295,0.35,-3.613,0.583,-0.069
173,537.004,-0.829,-1.0,19.9,22.9,3113.193
174,46.234,-0.257,0.448,3.747,6.747,78.681
175,43.328,-0.146,0.904,3.648,6.648,71.197
176,75.371,-0.936,-0.279,5.295,8.295,164.513
177,0.511,-0.393,-0.188,-3.95,0.666,-0.274
178,82.794,-0.988,0.575,5.876,8.876,188.909
179,15.177,0.929,0.0,0.853,3.853,14.805
180,29.561,0.414,-0.058,2.508,5.508,40.099
181,0.143,-0.271,0.301,-3.705,0.391,-0.198
182,3.232,-0.773,-0.817,-4.662,1.874,-1.276
183,9.225,0.999,0.988,0.046,3.046,7.004
184,303.965,0.651,-0.813,14.572,17.572,1324.091
185,173.147,0.292,0.343,10.128,13.128,569.715
186,634.219,0.026,0.957,22.147,25.147,3993.312
187,14.049,0.949,0.007,0.511,3.511,13.278
188,70.831,-0.873,-0.252,5.605,8.605,148.598
189,45.288,-0.228,0.408,3.548,6.548,76.492
190,369.342,0.182,0.857,-22.103,19.328,-1773.606
191,1.185,0.569,-1.034,-2.07,0.93,0.163
192,250.113,0.999,1.259,13.084,16.084,987.511
193,40.781,-0.056,0.847,3.268,6.268,65.285
194,35.52,-0.166,0.901,-8.836,6.064,-52.555
195,22.822,0.688,-0.897,1.864,4.864,27.181
196,44.183,0.175,0.912,-9.486,6.786,-72.897
197,0.137,-0.382,-0.476,-4.263,0.306,-0.599
198,71.328,0.883,-0.396,-11.467,8.427,-150.687
199,5.762,0.932,0.094,-0.592,2.408,3.459
200,0.13,0.179,0.754,-2.64,0.36,0.012
201,49.225,-0.365,-0.132,3.824,6.824,86.679
202,18.722,0.839,-0.361,1.597,4.597,20.063
203,19.697,0.793,-0.976,1.34,4.34,21.927
204,16.754,-0.88,-0.727,-7.46,3.806,-17.975
205,361.396,-0.078,1.127,16.181,19.181,1716.499
206,1.745,0.499,0.156,-1.302,1.698,0.938
207,405.789,-0.608,-1.378,16.644,19.644,2046.939
208,1.873,0.564,-0.299,-1.365,1.635,0.867
209,337.65,0.235,0.567,15.359,18.359,1551.197
210,520.873,-0.915,-0.072,19.842,22.842,2971.777
211,33.453,0.244,0.476,2.714,5.714,48.462
212,1.286,0.442,0.191,-1.636,1.364,0.64
213,87.279,-0.999,0.76,6.125,9.125,204.423
214,210.04,0.818,-0.454,11.799,14.799,759.61
215,13.004,-0.975,0.781,-6.436,3.735,-11.373
216,4.803,0.893,-0.362,-0.861,2.139,2.619
217,1.183,-0.548,-0.841,-4.32,0.999,-0.55
218,2.836,0.735,-0.882,-1.243,1.757,1.233
219,394.796,-0.483,-0.01,17.282,20.282,1958.366
220,25.242,-0.605,-0.445,-7.571,5.395,-30.52
221,197.635,0.682,-1.258,10.801,13.801,695.742
222,8.444,0.995,0.721,-0.259,2.741,6.153
223,264.272,0.963,0.529,13.323,16.323,1073.676
224,100.566,-0.957,0.686,7.315,10.315,251.291
225,27.705,0.468,-0.844,1.834,4.834,36.923
226,34.593,0.212,0.951,3.15,6.15,50.512
227,35.257,0.159,0.494,2.655,5.655,52.717
228,11.315,0.996,1.237,0.619,3.619,9.44
229,323.973,-0.414,-0.02,-20.881,18.111,-1456.926
230,1.071,0.516,-0.668,-2.02,0.98,0.214
231,0.349,-0.266,0.532,-3.48,0.598,0.02
232,73.591,-0.909,0.073,5.786,8.786,157.338
233,58.306,-0.622,-0.763,4.763,7.763,111.05
234,52.185,-0.459,-0.505,4.06,7.06,94.545
235,36.657,-0.108,0.749,-9.228,5.908,-56.009
236,27.215,0.517,-0.354,2.41,5.41,35.29
237,136.379,-0.42,-0.679,8.182,11.182,399.919
238,49.372,-0.369,-0.129,3.853,6.853,87.035
239,40.055,-0.009,1.354,3.655,6.655,62.892
240,83.485,-0.99,0.754,6.052,9.052,190.919
241,119.823,-0.725,-0.967,7.973,10.973,327.822
242,1.562,-0.581,-0.762,-4.213,1.266,-0.449
243,2.018,0.591,-0.398,-1.316,1.684,0.925
244,38.464,0.065,1.57,3.757,6.757,58.844
245,0.478,-0.365,-0.002,-3.826,0.668,-0.183
246,8.771,-0.997,0.756,-6.197,2.794,-6.92
247,15.194,0.941,0.695,1.339,4.339,14.579
248,82.047,0.981,1.219,-11.513,9.545,-183.529
249,53.371,-0.492,-0.575,4.207,7.207,97.659
250,0.832,0.336,0.563,-1.952,1.048,0.443
251,56.627,-0.582,-0.818,4.502,7.502,106.577
252,55.401,-0.554,-0.919,4.241,7.241,103.479
253,213.454,0.854,-0.67,11.524,14.524,780.048
254,29.835,-0.384,-0.374,-8.867,5.125,-41.874
255,100.934,0.953,0.475,-12.899,10.18,-252.84
256,139.869,-0.364,0.184,8.924,11.924,413.193
257,67.939,0.828,-0.6,-11.112,8.358,-139.494
258,16.005,-0.912,-0.033,-6.898,4.08,-15.78
259,19.97,-0.762,-1.671,-8.273,3.825,-24.258
260,97.478,-0.973,0.328,6.613,9.613,241.345
261,127.723,-0.582,-1.303,7.813,10.813,362.52
262,0.254,-0.353,-0.14,-3.989,0.455,-0.361
263,65.097,-0.773,-0.641,5.334,8.334,130.734
264,13.76,0.958,0.298,0.623,3.623,12.8
265,5.439,0.908,0.091,-0.476,2.524,3.204
266,4.901,0.883,-0.153,-0.613,2.387,2.753
267,4.945,0.847,0.24,-0.118,2.882,2.924
268,49.745,0.367,0.325,-9.777,7.292,-86.774
269,15.546,-0.934,0.68,-6.303,4.437,-13.926
270,111.598,-0.841,-0.751,7.474,10.474,295.011
271,-0.125,0.23,0.258,-2.876,0.124,-0.315
272,65.725,-0.785,-0.606,5.375,8.375,132.627
273,14.097,0.945,-0.17,0.403,3.403,13.401
274,-0.183,-0.122,0.641,-3.487,0.002,-0.246
275,166.903,0.175,0.803,9.957,12.957,538.907
276,23.977,0.638,-0.963,1.868,4.868,29.379
277,61.623,-0.699,-0.691,5.138,8.138,120.339
278,153.26,-0.093,0.943,9.392,12.392,474.289
279,72.377,-0.894,-0.108,5.67,8.67,153.559
280,95.418,0.985,0.692,-12.849,9.696,-233.373
281,0.442,0.347,0.094,-2.352,0.648,0.029
282,14.363,-0.947,0.231,-6.826,3.762,-13.686
283,51.136,-0.426,-0.379,3.975,6.975,91.736
284,26.833,0.528,-0.504,2.275,5.275,34.649
285,4.962,-0.902,-0.313,-5.354,2.148,-2.953
286,2.867,-0.764,-1.102,-4.897,1.581,-1.473
287,495.473,-0.991,1.061,19.452,22.452,2755.766
288,119.003,-0.74,-0.781,8.101,11.101,323.926
289,413.676,-0.681,-1.395,16.943,19.943,2106.132
290,178.156,0.384,-0.223,10.14,13.14,595.346
291,123.447,0.668,-0.826,-13.953,11.255,-342.116
292,2.205,0.667,-0.902,-1.467,1.533,0.851
293,67.914,0.838,-1.152,-11.749,7.791,-141.88
294,38.66,-0.041,1.188,-9.0,6.403,-59.424
295,137.039,-0.415,-0.236,8.615,11.615,401.38
296,30.753,-0.37,0.273,-8.31,5.742,-41.972
297,21.994,0.723,-0.78,1.882,4.882,25.625
298,202.514,0.745,-1.426,10.797,13.797,722.429
299,84.899,-0.995,0.596,5.901,8.901,196.379
